time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
6.304,-3.611658,-1.301083,2.773121,0.000000,-3.611658,-1.301083,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.336,-3.611658,-1.301083,2.775265,0.000000,-3.611658,-1.301083,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.368,-3.611657,-1.301083,2.777320,0.000000,-3.611657,-1.301083,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.400,-3.611657,-1.301083,2.779286,0.000000,-3.611657,-1.301083,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.432,-3.611657,-1.301082,2.781163,0.000000,-3.611657,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.464,-3.611656,-1.301082,2.782952,0.000000,-3.611656,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.496,-3.611656,-1.301082,2.784653,0.000000,-3.611656,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.528,-3.611656,-1.301082,2.786265,0.000000,-3.611656,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.560,-3.611655,-1.301082,2.787789,0.000000,-3.611655,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.592,-3.611655,-1.301082,2.789225,0.000000,-3.611655,-1.301082,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.624,-3.611655,-1.301082,2.790574,-0.000000,-3.611655,-1.301082,2.000000,-0.000000,0.000,0.000,IDLE,11.026
